source,destination,mode,cost,duration_hours,distance_km
Delhi,Tirunelveli,flight,8339,4.52,2223.9
Delhi,Bhiwandi,flight,4099,2.12,1125.0
Delhi,Saharanpur,train,135,2.3,146.6
Delhi,Gorakhpur,train,364,8.67,653.8
Delhi,Jalandhar,train,199,5.09,326.5
Delhi,Jalandhar,flight,1886,0.53,326.5
Delhi,Jamshedpur,train,610,17.59,1122.2
Delhi,Salem,flight,7214,2.44,1897.8
Delhi,Warangal,flight,4686,2.33,1220.4
Delhi,Mira-Bhayandar,flight,4058,1.59,1133.1
Delhi,Thiruvananthapuram,flight,8304,3.25,2244.0
Delhi,Bhilai,flight,4005,1.93,942.2
Delhi,Ujjain,train,381,13.55,628.3
Delhi,Durgapur,flight,4630,1.66,1170.3
Delhi,Asansol,train,557,16.09,1129.9
Delhi,Asansol,flight,4075,1.43,1129.9
Delhi,Rourkela,flight,3730,2.33,1057.1
Delhi,Nellore,flight,6159,2.27,1613.4
Delhi,Dehradun,train,145,3.85,200.6
Delhi,Davanagere,flight,5261,2.46,1588.0
Delhi,Kozhikode,flight,7388,4.06,1944.7
Delhi,Akola,flight,3381,1.81,890.0
Delhi,Kurnool,flight,4783,3.07,1435.0
Delhi,Nizamabad,flight,3804,2.36,1120.0
Delhi,Guntur,flight,5634,3.15,1420.2
Delhi,Amravati,flight,3650,1.23,866.5
Delhi,Kakinada,flight,5256,2.09,1404.8
Delhi,Tirupati,flight,5873,2.65,1693.3
Delhi,Puri,train,666,18.39,1325.7
Delhi,Puri,flight,5023,2.87,1325.7
Delhi,Shimoga,flight,5618,2.63,1650.4
Delhi,Ongole,flight,5198,2.64,1498.5
Delhi,Bathinda,train,170,4.93,267.7
Delhi,Bathinda,flight,1549,0.48,267.7
Delhi,Darbhanga,flight,3346,1.62,912.3
Delhi,Satara,flight,4441,2.46,1266.2
Delhi,Proddatur,flight,6123,2.41,1558.8
Delhi,Kollam,flight,6749,4.15,2203.5
Delhi,Ambala,train,153,2.63,188.8
Delhi,Siliguri,flight,4751,2.1,1136.3
Delhi,Rohtak,train,81,0.59,52.8
Delhi,Etawah,train,190,5.87,284.5
Delhi,Etawah,flight,1635,0.47,284.5
Delhi,Orai,train,219,4.63,381.1
Delhi,Haldwani,train,154,4.34,241.4
Delhi,Muzaffarpur,flight,3075,1.88,866.8
Delhi,Ramagundam,flight,4119,1.52,1131.8
Delhi,Baripada,flight,4274,1.9,1227.5
Delhi,Tezpur,flight,6193,2.35,1560.6
Delhi,Korba,flight,3789,1.69,904.8
Delhi,Nagapattinam,flight,6483,3.78,2014.2
Delhi,Mahbubnagar,flight,5168,2.17,1333.2
Delhi,Buxar,train,475,12.45,781.6
Delhi,Sagar,train,331,8.93,565.0
Delhi,Chittoor,flight,5726,2.57,1734.4
Delhi,Arrah,train,468,16.85,826.0
Delhi,Arrah,flight,3326,1.29,826.0
Delhi,Bharuch,flight,3472,1.38,880.0
Delhi,Balasore,flight,5304,2.45,1273.0
Delhi,Jalgaon,flight,3766,1.79,869.8
Delhi,Palakkad,flight,6477,2.79,1992.9
Delhi,Unnao,train,270,5.84,411.1
Delhi,Unnao,flight,2056,0.53,411.1
Delhi,Bilaspur,train,514,12.32,893.3
Delhi,Bilaspur,flight,3931,1.32,893.3
Bengaluru,Mumbai,train,514,17.4,845.3
Bengaluru,Delhi,flight,5496,3.52,1750.1
Bengaluru,Kolkata,flight,5614,2.05,1560.7
Bengaluru,Chennai,train,207,4.32,290.2
Bengaluru,Hyderabad,train,313,7.59,500.0
Bengaluru,Pune,flight,3196,1.35,735.2
Bengaluru,Ahmedabad,flight,4398,2.49,1237.0
Bengaluru,Jaipur,flight,5531,2.86,1561.5
Bengaluru,Surat,train,593,19.79,1042.5
Bengaluru,Surat,flight,4290,2.04,1042.5
Bengaluru,Lucknow,flight,6223,2.81,1581.9
Bengaluru,Kanpur,flight,5557,3.17,1525.7
Bengaluru,Nagpur,train,531,18.35,922.7
Bengaluru,Nagpur,flight,3557,1.64,922.7
Bengaluru,Indore,flight,3785,1.57,1099.4
Bengaluru,Thane,flight,3780,1.08,851.7
Bengaluru,Bhopal,flight,4085,1.52,1144.2
Bengaluru,Visakhapatnam,train,454,15.05,799.0
Bengaluru,Pimpri-Chinchwad,train,393,14.26,748.7
Bengaluru,Patna,flight,5266,2.77,1610.3
Bengaluru,Vadodara,flight,4641,1.62,1138.3
Bengaluru,Ghaziabad,flight,6664,2.35,1745.6
Bengaluru,Ludhiana,flight,6446,2.97,2001.6
Bengaluru,Agra,flight,5201,2.15,1580.1
Bengaluru,Nashik,train,497,14.05,880.1
Bengaluru,Nashik,flight,3172,1.88,880.1
Bengaluru,Faridabad,flight,6160,2.76,1716.8
Bengaluru,Meerut,flight,5807,3.06,1780.6
Bengaluru,Rajkot,flight,4818,1.95,1262.3
Bengaluru,Kalyan,flight,3094,1.39,844.3
Bengaluru,Vasai-Virar,flight,3833,1.32,875.8
Bengaluru,Varanasi,flight,5155,2.84,1484.0
Bengaluru,Srinagar,flight,8364,4.44,2364.5
Bengaluru,Dhanbad,flight,5768,3.17,1521.3
Bengaluru,Jodhpur,flight,5430,2.66,1550.5
Bengaluru,Amritsar,flight,6755,2.79,2093.7
Bengaluru,Nanded,train,404,8.34,688.0
Bengaluru,Gwalior,flight,5136,2.85,1474.2
Bengaluru,Kolhapur,train,329,10.69,549.4
Bengaluru,Bhubaneswar,flight,4192,1.87,1196.1
Bengaluru,Solapur,train,333,6.76,551.8
Bengaluru,Solapur,flight,2523,0.75,551.8
Bengaluru,Mangalore,train,189,3.56,296.8
Bengaluru,Mangalore,flight,1713,0.5,296.8
Bengaluru,Tiruchirappalli,train,202,5.28,270.9
Bengaluru,BiharSharif,flight,6162,2.46,1593.3
Bengaluru,Aligarh,flight,5851,2.19,1660.5
Bengaluru,Tirunelveli,train,287,9.18,473.8
Bengaluru,Bhiwandi,train,494,15.06,852.5
Bengaluru,Bhiwandi,flight,3232,1.41,852.5
Bengaluru,Saharanpur,flight,7124,3.81,1889.5
Bengaluru,Gorakhpur,flight,6335,2.93,1647.3
Bengaluru,Jalandhar,train,1093,33.76,2051.3
Bengaluru,Jamshedpur,flight,5345,2.23,1422.1
Bengaluru,Salem,train,136,2.68,157.2
Bengaluru,Warangal,train,375,6.81,595.5
Bengaluru,Mira-Bhayandar,flight,3830,1.5,864.9
Bengaluru,Thiruvananthapuram,train,328,8.06,499.7
Bengaluru,Bhilai,train,554,18.8,1000.6
Bengaluru,Bhilai,flight,4044,1.38,1000.6
Bengaluru,Ujjain,train,658,21.43,1151.0
Bengaluru,Ujjain,flight,4050,2.27,1151.0
Bengaluru,Durgapur,flight,5426,2.03,1557.2
Bengaluru,Asansol,flight,6157,3.08,1546.4
Bengaluru,Rourkela,flight,4311,2.4,1287.2
Bengaluru,Nellore,train,220,3.97,305.8
Bengaluru,Dehradun,flight,7142,2.55,1929.2
Bengaluru,Davanagere,train,173,4.8,245.4
Bengaluru,Davanagere,flight,1467,0.42,245.4
Bengaluru,Kozhikode,train,202,4.71,274.2
Bengaluru,Akola,train,513,11.42,861.7
Bengaluru,Akola,flight,3075,1.44,861.7
Bengaluru,Kurnool,train,218,6.35,321.2
Bengaluru,Nizamabad,flight,2527,0.8,636.1
Bengaluru,Guntur,train,270,6.76,480.6
Bengaluru,Guntur,flight,2453,0.84,480.6
Bengaluru,Amravati,flight,3460,1.38,885.6
Bengaluru,Kakinada,train,372,11.36,670.2
Bengaluru,Tirupati,train,145,2.76,210.5
Bengaluru,Tirupati,flight,1294,0.32,210.5
Bengaluru,Puri,train,612,19.73,1161.7
Bengaluru,Puri,flight,4751,1.49,1161.7
Bengaluru,Shimoga,train,180,2.92,243.7
Bengaluru,Ongole,train,246,4.58,386.5
Bengaluru,Bathinda,flight,7026,3.19,1936.2
Bengaluru,Darbhanga,flight,6165,2.54,1702.9
Bengaluru,Satara,train,405,8.01,650.5
Bengaluru,Proddatur,train,170,2.79,223.0
Bengaluru,Kollam,flight,2101,0.97,466.0
Bengaluru,Ambala,flight,6932,2.63,1937.3
Bengaluru,Siliguri,flight,5849,3.93,1899.5
Bengaluru,Rohtak,flight,6039,2.64,1773.6
Bengaluru,Etawah,flight,6002,2.2,1543.2
Bengaluru,Orai,flight,5901,2.98,1460.7
Bengaluru,Haldwani,flight,6330,2.78,1817.4
Bengaluru,Muzaffarpur,flight,5557,2.7,1673.6
Bengaluru,Ramagundam,train,425,12.53,678.6
Bengaluru,Ramagundam,flight,3088,0.88,678.6
Bengaluru,Baripada,flight,5626,1.93,1389.2
Bengaluru,Tezpur,flight,8077,2.81,2196.3
Bengaluru,Korba,flight,4638,2.0,1177.6
Bengaluru,Nagapattinam,train,218,5.56,345.9
Bengaluru,Mahbubnagar,train,242,5.64,421.3
Bengaluru,Buxar,flight,5705,2.41,1560.4
Bengaluru,Sagar,flight,4669,2.32,1214.4
Bengaluru,Chittoor,train,130,2.92,165.4
Bengaluru,Arrah,flight,5904,2.67,1583.6
Bengaluru,Bharuch,flight,4389,1.89,1085.7
Bengaluru,Balasore,flight,4904,1.94,1370.4
Bengaluru,Jalgaon,flight,3916,1.18,919.3
Bengaluru,Palakkad,train,169,3.61,263.6
Bengaluru,Palakkad,flight,1553,0.34,263.6
Bengaluru,Unnao,flight,5444,2.45,1538.2
Bengaluru,Bilaspur,flight,4107,1.55,1121.3
Kolkata,Mumbai,flight,6067,2.74,1654.8
Kolkata,Delhi,flight,4438,2.58,1317.8
Kolkata,Bengaluru,flight,5157,3.29,1560.7
Kolkata,Chennai,flight,5332,2.4,1358.4
Kolkata,Hyderabad,train,653,13.45,1181.9
Kolkata,Pune,train,905,24.25,1575.4
Kolkata,Pune,flight,5654,2.08,1575.4
Kolkata,Ahmedabad,flight,6120,2.62,1618.9
Kolkata,Jaipur,flight,5027,2.01,1357.8
Kolkata,Surat,flight,6228,3.33,1609.7
Kolkata,Lucknow,flight,3498,1.2,887.0
Kolkata,Kanpur,train,467,12.09,919.6
Kolkata,Nagpur,flight,3907,1.37,970.1
Kolkata,Indore,flight,4716,1.93,1283.1
Kolkata,Thane,flight,5941,2.57,1640.3
Kolkata,Bhopal,flight,4694,1.51,1124.0
Kolkata,Visakhapatnam,train,465,9.35,763.8
Kolkata,Pimpri-Chinchwad,flight,5370,3.24,1577.1
Kolkata,Patna,train,264,5.98,469.2
Kolkata,Vadodara,flight,6291,2.97,1560.0
Kolkata,Ghaziabad,flight,4880,1.89,1285.9
Kolkata,Ludhiana,flight,5925,2.49,1547.3
Kolkata,Agra,train,604,14.9,1162.7
Kolkata,Agra,flight,3877,2.42,1162.7
Kolkata,Nashik,flight,5877,3.01,1536.2
Kolkata,Faridabad,flight,4613,1.87,1283.7
Kolkata,Meerut,flight,4931,1.82,1282.4
Kolkata,Rajkot,flight,5642,3.51,1804.1
Kolkata,Kalyan,flight,5697,2.64,1624.4
Kolkata,Vasai-Virar,flight,6459,2.17,1649.2
Kolkata,Varanasi,train,334,8.03,627.0
Kolkata,Srinagar,flight,5873,2.32,1840.8
Kolkata,Dhanbad,train,174,5.26,239.9
Kolkata,Jodhpur,flight,6286,2.44,1604.7
Kolkata,Amritsar,flight,6416,3.45,1670.4
Kolkata,Nanded,flight,4801,1.52,1208.3
Kolkata,Gwalior,flight,4129,1.66,1107.4
Kolkata,Kolhapur,flight,5500,2.83,1615.1
Kolkata,Bhubaneswar,train,218,6.38,364.9
Kolkata,Solapur,train,699,17.43,1410.0
Kolkata,Solapur,flight,5161,2.41,1410.0
Kolkata,Mangalore,flight,6774,2.66,1786.8
Kolkata,Tiruchirappalli,flight,6509,2.27,1664.3
Kolkata,BiharSharif,train,279,4.93,411.1
Kolkata,Aligarh,flight,4633,1.64,1190.4
Kolkata,Tirunelveli,flight,6238,2.8,1912.3
Kolkata,Bhiwandi,flight,6075,2.77,1630.1
Kolkata,Saharanpur,flight,5568,1.71,1354.8
Kolkata,Gorakhpur,train,396,13.75,686.3
Kolkata,Jalandhar,flight,6153,2.12,1595.9
Kolkata,Jamshedpur,train,151,3.82,223.2
Kolkata,Jamshedpur,flight,1441,0.44,223.2
Kolkata,Salem,flight,5756,2.21,1626.5
Kolkata,Warangal,train,596,14.75,1047.9
Kolkata,Mira-Bhayandar,flight,6320,2.26,1651.0
Kolkata,Thiruvananthapuram,flight,6326,2.55,1982.2
Kolkata,Bhilai,train,389,8.15,731.7
Kolkata,Bhilai,flight,3058,1.52,731.7
Kolkata,Ujjain,flight,4947,2.5,1290.1
Kolkata,Durgapur,train,125,1.99,150.6
Kolkata,Asansol,train,144,2.66,189.7
Kolkata,Rourkela,train,253,7.7,362.5
Kolkata,Rourkela,flight,1712,0.73,362.5
Kolkata,Nellore,flight,5100,2.23,1263.2
Kolkata,Dehradun,flight,5225,2.56,1340.2
Kolkata,Davanagere,flight,6389,2.28,1590.4
Kolkata,Kozhikode,flight,7237,2.85,1834.8
Kolkata,Akola,train,616,22.07,1191.9
Kolkata,Akola,flight,4155,2.03,1191.9
Kolkata,Kurnool,flight,5028,1.91,1317.6
Kolkata,Nizamabad,train,571,14.86,1153.0
Kolkata,Guntur,flight,4400,1.36,1084.1
Kolkata,Amravati,train,545,20.0,1109.1
Kolkata,Amravati,flight,4741,1.71,1109.1
Kolkata,Kakinada,flight,3168,1.29,891.4
Kolkata,Tirupati,flight,5472,2.18,1371.2
Kolkata,Puri,train,230,8.28,403.8
Kolkata,Shimoga,flight,6589,2.36,1656.5
Kolkata,Ongole,train,676,19.36,1174.6
Kolkata,Bathinda,flight,6151,2.87,1581.6
Kolkata,Darbhanga,train,297,6.28,470.4
Kolkata,Darbhanga,flight,2298,0.69,470.4
Kolkata,Satara,flight,5595,2.33,1594.9
Kolkata,Proddatur,flight,5283,1.94,1350.2
Kolkata,Kollam,flight,6276,2.95,1971.2
Kolkata,Ambala,flight,4846,2.05,1441.9
Kolkata,Siliguri,train,256,9.24,459.9
Kolkata,Rohtak,flight,4834,2.02,1370.4
Kolkata,Etawah,train,561,12.83,1053.9
Kolkata,Etawah,flight,4236,1.43,1053.9
Kolkata,Orai,train,587,17.12,978.9
Kolkata,Orai,flight,4191,1.74,978.9
Kolkata,Haldwani,flight,4516,1.66,1152.5
Kolkata,Muzaffarpur,train,301,5.59,496.4
Kolkata,Ramagundam,train,555,16.13,1008.5
Kolkata,Baripada,train,131,2.28,181.5
Kolkata,Tezpur,train,344,9.12,637.3
Kolkata,Korba,train,362,7.04,577.3
Kolkata,Korba,flight,2652,1.18,577.3
Kolkata,Nagapattinam,train,851,32.76,1594.4
Kolkata,Nagapattinam,flight,5552,3.09,1594.4
Kolkata,Mahbubnagar,flight,4218,2.31,1264.8
Kolkata,Buxar,flight,2317,1.18,540.2
Kolkata,Sagar,flight,3940,1.84,993.6
Kolkata,Chittoor,flight,5055,2.45,1428.3
Kolkata,Arrah,train,291,8.38,501.1
Kolkata,Bharuch,flight,5402,3.48,1583.0
Kolkata,Balasore,train,142,4.15,190.5
Kolkata,Jalgaon,flight,5129,2.63,1332.7
Kolkata,Palakkad,flight,6566,2.83,1807.1
Kolkata,Unnao,flight,3878,1.58,910.4
Kolkata,Bilaspur,train,382,8.43,642.6
Chennai,Mumbai,flight,3917,1.93,1033.1
Chennai,Delhi,flight,6329,2.36,1767.7
Chennai,Bengaluru,train,187,4.08,290.2
Chennai,Kolkata,flight,5017,2.29,1358.4
Chennai,Hyderabad,train,334,10.72,515.2
Chennai,Hyderabad,flight,2675,1.09,515.2
Chennai,Pune,train,505,12.15,914.4
Chennai,Pune,flight,3286,1.36,914.4
Chennai,Ahmedabad,flight,4786,1.79,1371.8
Chennai,Jaipur,flight,6088,3.25,1607.1
Chennai,Surat,train,652,16.14,1196.8
Chennai,Surat,flight,4671,2.56,1196.8
Chennai,Lucknow,flight,5065,3.06,1532.1
Chennai,Kanpur,flight,5453,2.02,1486.4
Chennai,Nagpur,flight,3775,1.26,905.3
Chennai,Indore,train,696,15.57,1168.6
Chennai,Indore,flight,4204,2.24,1168.6
Chennai,Thane,train,539,19.5,1035.1
Chennai,Bhopal,train,680,21.6,1171.1
Chennai,Visakhapatnam,train,357,7.74,601.6
Chennai,Pimpri-Chinchwad,train,478,12.76,926.8
Chennai,Patna,flight,5004,2.27,1481.5
Chennai,Vadodara,flight,4839,1.77,1270.6
Chennai,Ghaziabad,flight,6110,3.54,1757.5
Chennai,Ludhiana,flight,6525,3.73,2032.3
Chennai,Agra,flight,5628,2.26,1584.8
Chennai,Nashik,train,515,13.62,1033.3
Chennai,Faridabad,flight,6524,2.74,1731.4
Chennai,Meerut,flight,5797,2.73,1787.9
Chennai,Rajkot,train,758,31.41,1433.3
Chennai,Rajkot,flight,4605,2.57,1433.3
Chennai,Kalyan,train,546,13.0,1024.4
Chennai,Kalyan,flight,3530,2.09,1024.4
Chennai,Vasai-Virar,train,621,15.69,1058.6
Chennai,Varanasi,flight,5588,1.93,1389.6
Chennai,Srinagar,flight,8183,4.7,2399.7
Chennai,Dhanbad,flight,5458,1.94,1356.3
Chennai,Jodhpur,flight,6506,2.41,1646.9
Chennai,Amritsar,flight,7081,4.71,2135.2
Chennai,Nanded,train,394,16.35,744.9
Chennai,Nanded,flight,3317,1.24,744.9
Chennai,Gwalior,flight,5171,2.25,1476.8
Chennai,Kolhapur,train,458,14.14,762.5
Chennai,Bhubaneswar,flight,3965,1.54,996.3
Chennai,Solapur,train,430,11.63,691.3
Chennai,Mangalore,train,347,12.69,586.9
Chennai,Mangalore,flight,2537,0.78,586.9
Chennai,Tiruchirappalli,train,203,5.4,306.6
Chennai,BiharSharif,flight,4724,2.0,1455.3
Chennai,Aligarh,train,856,24.79,1662.8
Chennai,Aligarh,flight,5747,3.42,1662.8
Chennai,Tirunelveli,train,362,8.06,558.0
Chennai,Bhiwandi,flight,4149,1.33,1033.1
Chennai,Saharanpur,flight,6185,2.62,1897.9
Chennai,Gorakhpur,flight,5739,3.33,1554.9
Chennai,Jalandhar,flight,7347,4.17,2084.6
Chennai,Jamshedpur,flight,4521,2.14,1249.5
Chennai,Salem,train,181,4.34,279.5
Chennai,Warangal,train,329,7.2,548.1
Chennai,Warangal,flight,2531,1.06,548.1
Chennai,Mira-Bhayandar,flight,3999,2.23,1049.4
Chennai,Thiruvananthapuram,train,372,7.14,624.1
Chennai,Bhilai,flight,3399,1.6,910.0
Chennai,Ujjain,flight,4624,1.54,1218.3
Chennai,Durgapur,flight,5431,1.98,1377.5
Chennai,Asansol,flight,4833,1.96,1373.1
Chennai,Rourkela,train,631,16.42,1129.8
Chennai,Nellore,train,133,2.54,154.3
Chennai,Dehradun,flight,6615,3.94,1930.1
Chennai,Davanagere,flight,2246,0.91,494.2
Chennai,Kozhikode,train,298,8.88,528.5
Chennai,Akola,train,557,11.85,915.4
Chennai,Kurnool,train,246,6.34,388.6
Chennai,Nizamabad,train,389,7.47,663.7
Chennai,Guntur,train,241,5.47,358.9
Chennai,Amravati,train,516,17.14,912.7
Chennai,Amravati,flight,4035,1.2,912.7
Chennai,Kakinada,train,279,10.47,483.4
Chennai,Tirupati,train,104,1.68,110.3
Chennai,Puri,train,537,18.69,954.6
Chennai,Puri,flight,3707,1.34,954.6
Chennai,Shimoga,train,297,9.48,517.1
